job,marital,education,default,contact,poutcome,loan
admin.,single,secondary,yes,cellular,failure,no
blue-collar,married,secondary,yes,cellular,unknown,no
self-employed,single,tertiary,yes,cellular,other,no
services,single,secondary,yes,cellular,unknown,no
blue-collar,married,primary,yes,cellular,unknown,no
blue-collar,married,primary,yes,cellular,failure,no
management,single,tertiary,yes,cellular,failure,no
services,divorced,secondary,yes,cellular,unknown,no
blue-collar,married,primary,yes,telephone,unknown,no
blue-collar,married,secondary,yes,cellular,failure,yes
technician,married,tertiary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,unknown,no
blue-collar,married,secondary,yes,cellular,failure,no
management,single,tertiary,yes,cellular,unknown,no
admin.,single,secondary,yes,cellular,failure,no
services,single,secondary,yes,cellular,unknown,no
technician,single,secondary,yes,cellular,failure,no
admin.,single,secondary,yes,cellular,unknown,no
blue-collar,married,secondary,yes,cellular,unknown,no
technician,single,secondary,yes,cellular,unknown,no
blue-collar,single,secondary,yes,cellular,unknown,yes
blue-collar,single,secondary,yes,cellular,success,no
blue-collar,single,secondary,yes,cellular,unknown,yes
management,single,tertiary,yes,cellular,unknown,no
blue-collar,single,secondary,yes,cellular,unknown,no
services,single,secondary,yes,cellular,unknown,no
blue-collar,married,secondary,yes,cellular,unknown,no
admin.,single,secondary,yes,cellular,unknown,yes
technician,single,tertiary,yes,cellular,unknown,no
retired,divorced,tertiary,no,cellular,success,no
blue-collar,single,secondary,yes,cellular,unknown,no
housemaid,single,secondary,yes,cellular,success,no
blue-collar,married,unknown,yes,cellular,unknown,no
services,single,secondary,yes,cellular,unknown,no
blue-collar,single,primary,yes,cellular,unknown,no
admin.,single,tertiary,yes,cellular,unknown,no
entrepreneur,married,tertiary,yes,cellular,unknown,no
technician,divorced,secondary,yes,cellular,failure,yes
blue-collar,single,secondary,yes,cellular,unknown,no
blue-collar,married,primary,yes,cellular,failure,yes
blue-collar,single,primary,yes,cellular,unknown,no
blue-collar,single,primary,yes,cellular,unknown,yes
blue-collar,married,secondary,yes,cellular,failure,yes
technician,single,tertiary,yes,cellular,unknown,no
blue-collar,married,primary,yes,cellular,other,no
management,married,tertiary,yes,cellular,unknown,no
self-employed,married,secondary,yes,cellular,unknown,yes
technician,single,secondary,yes,cellular,success,no
services,single,secondary,yes,cellular,failure,no
admin.,single,secondary,yes,cellular,unknown,yes
unemployed,single,tertiary,yes,cellular,success,no
blue-collar,single,secondary,yes,cellular,unknown,no
admin.,divorced,secondary,yes,cellular,success,yes
management,married,tertiary,no,cellular,unknown,no
technician,single,tertiary,no,cellular,failure,no
admin.,married,secondary,no,cellular,unknown,no
services,married,secondary,yes,cellular,failure,no
management,married,tertiary,no,cellular,unknown,no
technician,divorced,secondary,yes,cellular,unknown,no
management,single,tertiary,yes,cellular,success,no
services,married,secondary,no,cellular,failure,no
technician,married,secondary,no,cellular,unknown,no
student,single,secondary,no,cellular,success,no
management,single,tertiary,no,cellular,unknown,no
management,divorced,unknown,no,cellular,success,no
student,single,tertiary,yes,cellular,success,no
services,single,secondary,no,cellular,unknown,no
management,single,tertiary,no,cellular,unknown,no
management,married,primary,yes,cellular,success,no
blue-collar,married,unknown,no,telephone,unknown,no
management,married,tertiary,no,cellular,other,no
management,single,tertiary,yes,cellular,other,no
admin.,single,secondary,yes,cellular,success,no
retired,divorced,tertiary,no,cellular,failure,yes
technician,single,secondary,no,cellular,unknown,no
blue-collar,single,tertiary,no,cellular,unknown,no
student,single,unknown,no,cellular,unknown,no
technician,single,tertiary,no,cellular,unknown,no
technician,single,tertiary,yes,cellular,failure,no
management,single,tertiary,no,cellular,unknown,no
technician,married,secondary,no,cellular,unknown,no
blue-collar,single,secondary,no,cellular,success,yes
retired,divorced,tertiary,no,cellular,unknown,no
management,single,tertiary,no,cellular,unknown,no
admin.,single,secondary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,unknown,yes
services,single,secondary,yes,cellular,unknown,no
technician,divorced,secondary,no,cellular,other,no
technician,married,tertiary,yes,cellular,failure,yes
technician,single,secondary,yes,cellular,other,no
technician,single,secondary,no,cellular,unknown,no
student,single,secondary,no,cellular,unknown,no
technician,single,tertiary,yes,cellular,failure,no
technician,single,tertiary,yes,cellular,failure,yes
student,single,secondary,no,cellular,success,no
technician,married,secondary,no,cellular,other,no
management,married,tertiary,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,no
technician,single,secondary,no,cellular,other,no
management,single,tertiary,no,cellular,unknown,no
retired,married,secondary,no,cellular,failure,no
management,divorced,tertiary,yes,cellular,other,no
retired,married,tertiary,no,telephone,unknown,no
student,single,tertiary,no,cellular,unknown,no
student,single,secondary,no,cellular,unknown,no
student,single,secondary,no,cellular,unknown,no
student,single,tertiary,no,cellular,unknown,no
management,single,tertiary,no,cellular,success,no
admin.,married,tertiary,no,cellular,unknown,no
admin.,single,secondary,no,cellular,unknown,no
self-employed,single,tertiary,no,cellular,unknown,no
admin.,single,secondary,yes,cellular,unknown,no
admin.,divorced,secondary,no,cellular,success,no
admin.,married,secondary,no,cellular,success,no
admin.,married,secondary,yes,cellular,unknown,no
admin.,single,secondary,no,cellular,unknown,no
admin.,single,tertiary,yes,cellular,unknown,no
admin.,single,secondary,no,cellular,success,no
technician,married,secondary,no,cellular,other,no
retired,divorced,tertiary,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,no
admin.,single,secondary,no,telephone,unknown,no
admin.,single,tertiary,yes,cellular,failure,no
student,single,unknown,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,no
admin.,married,secondary,no,cellular,success,no
management,married,tertiary,no,cellular,unknown,no
management,married,tertiary,yes,cellular,unknown,yes
unemployed,single,tertiary,no,cellular,unknown,no
management,married,tertiary,yes,cellular,success,no
technician,single,secondary,no,cellular,unknown,no
housemaid,divorced,secondary,no,cellular,unknown,no
blue-collar,married,secondary,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,no
admin.,married,tertiary,no,cellular,failure,no
management,single,secondary,no,cellular,unknown,no
admin.,married,secondary,no,cellular,unknown,no
technician,single,secondary,no,cellular,unknown,no
technician,married,secondary,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,yes
technician,married,secondary,no,cellular,unknown,yes
management,married,tertiary,no,cellular,unknown,no
technician,married,secondary,no,cellular,success,no
blue-collar,married,secondary,no,cellular,unknown,no
services,divorced,secondary,no,cellular,success,no
management,divorced,tertiary,no,cellular,other,no
services,single,secondary,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,no
self-employed,single,tertiary,no,cellular,unknown,no
unemployed,single,secondary,no,cellular,unknown,no
student,single,unknown,no,cellular,unknown,no
admin.,single,secondary,yes,cellular,unknown,yes
management,single,tertiary,no,cellular,other,no
blue-collar,married,secondary,no,cellular,unknown,no
management,married,tertiary,no,cellular,success,no
management,single,tertiary,no,cellular,unknown,no
admin.,married,secondary,no,cellular,unknown,no
management,married,tertiary,no,cellular,unknown,no
admin.,single,tertiary,no,cellular,success,yes
management,married,tertiary,no,cellular,unknown,no
management,single,tertiary,yes,cellular,unknown,no
unemployed,single,tertiary,no,cellular,unknown,no
blue-collar,married,secondary,no,cellular,unknown,no
technician,divorced,secondary,yes,cellular,unknown,no
admin.,married,tertiary,no,cellular,success,no
services,divorced,secondary,no,cellular,unknown,no
technician,married,secondary,no,cellular,unknown,no
admin.,married,secondary,no,telephone,unknown,no
services,married,secondary,yes,cellular,success,no
technician,married,tertiary,yes,cellular,failure,no
technician,single,tertiary,no,cellular,success,no
admin.,married,tertiary,no,cellular,unknown,no
student,single,tertiary,no,cellular,unknown,no
technician,single,secondary,no,cellular,unknown,no
services,married,secondary,yes,cellular,failure,no
blue-collar,married,secondary,yes,cellular,other,no
blue-collar,married,primary,no,cellular,unknown,no
technician,single,tertiary,no,cellular,success,no
entrepreneur,married,tertiary,no,cellular,unknown,no
blue-collar,married,secondary,no,cellular,unknown,no
management,married,tertiary,no,cellular,failure,no
technician,married,tertiary,no,cellular,unknown,no
technician,married,secondary,yes,cellular,failure,no
technician,married,secondary,no,cellular,unknown,no
unemployed,married,secondary,no,cellular,success,no
technician,married,secondary,no,telephone,unknown,no
self-employed,married,secondary,no,cellular,success,no
admin.,single,secondary,yes,cellular,unknown,yes
entrepreneur,married,secondary,no,telephone,unknown,no
management,single,tertiary,no,cellular,unknown,no
blue-collar,married,secondary,no,cellular,failure,no
management,divorced,tertiary,no,cellular,unknown,no
